Wavelength (Angstroms), Normalized intensity, Element
7100.0, 9612, 
7101.0, 9834, 
7102.0, 9666, 
7103.0, 9856, 
7104.0, 9862, 
7105.0, 9839, 
7106.0, 9834, 
7107.0, 9720, 
7108.0, 9785, 
7109.0, 9555, 
7110.0, 9786, 
7111.0, 9455, 
7112.0, 9678, 
7113.0, 9658, 
7114.0, 9801, 
7115.0, 9602, 
7116.0, 9860, 
7117.0, 9023, 
7118.0, 9765, 
7119.0, 9792, 
7120.0, 9147, 
7121.0, 9834, 
7122.0, 9536, 
7123.0, 9851, 
7124.0, 9861, 
7125.0, 9680, 
7126.0, 9830, 
7127.0, 9863, 
7128.0, 9843, 
7129.0, 9858, 
7130.0, 9813, 
7131.0, 7213, 
7132.0, 9830, 
7133.0, 6288, 
7134.0, 9857, 
7135.0, 9791, 
7136.0, 9881, 
7137.0, 9872, 
7138.0, 9861, 
7139.0, 9776, 
7140.0, 9878, 
7141.0, 9827, 
7142.0, 9859, 
7143.0, 9714, 
7144.0, 9744, 
7145.0, 9827, 
7146.0, 9870, 
7147.0, 9877, 
7148.0, 8704, 
7149.0, 9851, 
7150.0, 9852, 
7151.0, 9692, 
7152.0, 9822, 
7153.0, 9843, 
7154.0, 9884, 
7155.0, 9854, 
7156.0, 9846, 
7157.0, 9875, 
7158.0, 9870, 
7159.0, 9863, 
7160.0, 9854, 
7161.0, 9878, 
7162.0, 9739, 
7163.0, 9882, 
7164.0, 9792, 
7165.0, 9525, 
7166.0, 9731, 
7167.0, 8912, 
7168.0, 9663, 
7169.0, 9768, 
7170.0, 9695, 
7171.0, 9829, 
7172.0, 9755, 
7173.0, 9806, 
7174.0, 9830, 
7175.0, 9847, 
7176.0, 8609, 
7177.0, 9267, 
7178.0, 9886, 
7179.0, 9881, 
7180.0, 8123, 
7181.0, 9755, 
7182.0, 6208, 
7183.0, 9896, 
7184.0, 9850, 
7185.0, 9549, 
7186.0, 9739, 
7187.0, 8297, 
7188.0, 9689, 
7189.0, 9727, 
7190.0, 9791, 
7191.0, 9863, 
7192.0, 9759, 
7193.0, 9350, 
7194.0, 9601, 
7195.0, 9020, 
7196.0, 9812, 
7197.0, 5351, 
7198.0, 9848, 
7199.0, 9857, 
7200.0, 9709, 
7201.0, 9665, 
